host_id,host_since,host_response_time,host_is_superhost,host_total_listings_count,host_verifications,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,occupancy_est_total,occupancy_est_ltm,revenue_est_total,revenue_est_ltm,comp_ratings,days_as_host,success,success_ltm
1439258,2011-11-24,within a few hours,FALSE,33,8,Bukit Merah,Central Region,150037,1.28537,103.81087,Apartment,Private room,1,4,1,1,Real Bed,15,30,150,65,1,0,90,1125,3,0,100,10,9,10,10,9,10,TRUE,moderate,33,0,31,0.04,270,0,8100,0,7.9125000000000005,2924,Medium,Low
367042,2011-01-29,within an hour,FALSE,8,5,Tampines,East Region,488405,1.34943,103.95951,House,Private room,2,1.5,1,1,Real Bed,29,48,136,27,1,14,2,365,53,20,91,9,9,9,9,9,9,TRUE,moderate,8,0,8,0.56,106,40,5088,1920,7.34375,3223,Medium,Medium
1521514,2011-12-20,within a few hours,FALSE,6,7,Newton,Central Region,229117,1.3115,103.83759,Other,Private room,2,1,1,1,Real Bed,26,60,150,42,1,15,2,1125,90,20,90,9,9,10,10,9,9,FALSE,moderate,6,0,6,1.2,180,40,10800,2400,7.3875,2898,Medium,Medium
1521514,2011-12-20,within a few hours,FALSE,6,7,Newton,Central Region,229117,1.31159,103.83805,Townhouse,Private room,2,1,1,1,Real Bed,27,60,150,42,1,15,2,365,160,17,88,9,9,10,10,10,9,FALSE,moderate,6,0,6,1.72,320,34,19200,2040,7.34375,2898,High,Medium
367042,2011-01-29,within an hour,FALSE,8,5,Tampines,East Region,488405,1.34838,103.9592,House,Private room,3,1,1,2,Real Bed,37,102,136,27,1,20,1,1125,16,1,88,9,9,9,9,9,9,FALSE,moderate,8,0,8,0.19,16,1,1632,102,7.2124999999999995,3223,Low,Low
1030128,2011-08-28,within an hour,FALSE,3,7,Jurong West,West Region,649927,1.34135,103.71139,Condominium,Private room,1,1,1,1,Real Bed,34,55,273,25,1,14,2,730,26,16,92,10,9,10,10,9,9,FALSE,strict_14_with_grace_period,4,0,4,0.3,52,32,2860,1760,7.51875,3012,Low,Medium
2996022,2012-07-20,N/A,FALSE,1,6,Bukit Timah,Central Region,279889,1.33171,103.79383,Apartment,Entire home/apt,2,2,2,1,Real Bed,24,272,1365,61,1,0,4,90,11,0,91,9,8,10,10,9,9,FALSE,strict_14_with_grace_period,1,1,0,0.12,44,0,11968,0,7.3875,2685,Medium,Low
3919513,2012-10-19,within a few hours,FALSE,1,5,Bedok,East Region,448908,1.30792,103.92287,Condominium,Entire home/apt,4,2,2,2,Real Bed,48,173,136,68,4,68,5,365,107,19,94,10,10,10,10,10,10,FALSE,strict_14_with_grace_period,1,1,0,1.33,535,95,92555,16435,7.7375,2594,High,High
3926646,2012-10-20,within an hour,FALSE,6,7,Downtown Core,Central Region,079903,1.27663,103.84521,Condominium,Private room,2,1.5,1,0,Real Bed,36,899,0,0,1,99,4,1123,72,2,93,9,9,9,10,10,9,TRUE,strict_14_with_grace_period,6,2,4,0.84,288,8,258912,7192,7.51875,2593,High,High
3926646,2012-10-20,within an hour,FALSE,6,7,Downtown Core,Central Region,079903,1.27689,103.84636,Condominium,Private room,2,1.5,1,1,Real Bed,33,149,0,0,1,99,4,1124,26,0,91,9,9,10,10,10,9,TRUE,strict_14_with_grace_period,6,2,4,0.3,104,0,15496,0,7.4750000000000005,2593,High,Low
1584407,2012-01-09,within an hour,TRUE,5,9,Marine Parade,Central Region,428768,1.30377,103.89956,Apartment,Private room,2,1,1,1,Real Bed,23,165,500,0,1,0,2,1125,68,6,94,9,10,10,10,10,9,FALSE,moderate,5,2,3,0.8,136,12,22440,1980,7.6499999999999995,2878,High,Medium
3981231,2012-10-26,N/A,FALSE,1,6,Serangoon,North-East Region,550,1.35001,103.87161,Apartment,Private room,2,1,1,1,Real Bed,34,44,0,35,1,15,1,30,36,0,94,9,9,10,10,9,9,FALSE,flexible,1,0,1,0.42,36,0,1584,0,7.5625,2587,Low,Low
2413412,2012-05-19,within an hour,FALSE,113,5,Outram,Central Region,059108,1.28315,103.84213,Apartment,Private room,1,2,1,1,Real Bed,29,45,0,15,1,8,90,365,2,1,80,6,6,8,9,8,6,TRUE,strict_14_with_grace_period,120,0,120,0.02,180,90,8100,4050,6.3812500000000005,2747,Medium,Medium
1584407,2012-01-09,within an hour,TRUE,5,9,Marine Parade,Central Region,428768,1.30529,103.9042,Apartment,Entire home/apt,4,2,2,2,Real Bed,22,300,500,0,1,0,2,30,39,2,95,10,10,9,10,10,10,FALSE,moderate,5,2,3,0.47,78,4,23400,1200,7.7375,2878,High,Medium
1584407,2012-01-09,within an hour,TRUE,5,9,Marine Parade,Central Region,428768,1.30392,103.89988,Apartment,Private room,2,0.5,1,1,Real Bed,25,150,500,0,1,0,2,30,68,1,90,10,9,9,9,10,9,FALSE,moderate,5,2,3,0.81,136,2,20400,300,7.3875,2878,High,Low
4360831,2012-12-09,N/A,FALSE,1,8,Bukit Merah,Central Region,099310,1.27681,103.82381,Condominium,Private room,2,1,1,2,Real Bed,19,150,0,0,1,0,1,1125,2,1,100,10,10,10,10,10,10,FALSE,flexible,1,0,1,0.04,2,1,300,150,8,2543,Low,Low
4602014,2013-01-06,within a day,FALSE,5,6,Hougang,North-East Region,538803,1.37037,103.90052,Condominium,Private room,2,1,1,2,Real Bed,20,42,136,7,1,15,30,1124,21,1,76,8,7,9,8,7,7,FALSE,moderate,4,0,3,0.25,630,30,26460,1260,6.3374999999999995,2515,High,Medium
4602014,2013-01-06,within a day,FALSE,5,6,Hougang,North-East Region,538803,1.36792,103.89826,Condominium,Shared room,1,1,1,1,Real Bed,11,26,0,7,1,0,4,7,43,2,91,9,9,9,10,9,10,FALSE,flexible,4,0,3,0.52,172,8,4472,208,7.4312499999999995,2515,Medium,Low
2413412,2012-05-19,within an hour,FALSE,113,5,Outram,Central Region,059108,1.28291,103.84284,Apartment,Private room,1,1,1,2,Real Bed,34,66,0,20,1,40,90,1124,3,0,80,8,7,9,9,9,9,TRUE,strict_14_with_grace_period,120,0,120,0.04,270,0,17820,0,6.73125,2747,High,Low
4602014,2013-01-06,within a day,FALSE,5,6,Hougang,North-East Region,538803,1.36775,103.89855,Condominium,Private room,1,1,1,2,Real Bed,16,40,0,7,1,0,30,1125,10,0,92,10,7,9,10,9,9,FALSE,moderate,4,0,3,0.12,300,0,12000,0,7.3875,2515,Medium,Low
2413412,2012-05-19,within an hour,FALSE,113,5,Geylang,Central Region,387511,1.31525,103.88176,Apartment,Private room,1,3,1,1,Real Bed,32,35,0,15,1,10,18,365,7,3,83,8,7,10,9,9,8,TRUE,strict_14_with_grace_period,120,0,120,0.16,126,54,4410,1890,6.8625,2747,Medium,Medium
4935740,2013-02-02,within an hour,FALSE,1,5,Serangoon,North-East Region,538686,1.36885,103.8731,Apartment,Private room,1,1,1,2,Real Bed,34,66,250,80,1,0,1,30,25,2,97,10,10,10,10,9,9,FALSE,moderate,1,0,1,0.39,25,2,1650,132,7.78125,2488,Low,Low
3951127,2012-10-23,within a day,FALSE,3,5,Downtown Core,Central Region,079903,1.27529,103.84494,Condominium,Entire home/apt,4,2,2,2,Real Bed,19,240,500,0,1,0,4,1124,6,0,92,10,9,10,10,10,10,FALSE,strict_14_with_grace_period,3,3,0,0.08,24,0,5760,0,7.60625,2590,Medium,Low
2413412,2012-05-19,within an hour,FALSE,113,5,Outram,Central Region,059108,1.28491,103.84209,Apartment,Private room,1,1,1,1,Real Bed,34,60,0,30,1,10,90,365,6,0,96,10,10,10,10,10,10,TRUE,strict_14_with_grace_period,120,0,120,0.15,540,0,32400,0,7.825,2747,High,Low
4723385,2013-01-16,within an hour,TRUE,4,7,Novena,Central Region,329682,1.33334,103.8327,Apartment,Private room,1,1,1,1,Real Bed,39,70,200,30,1,30,3,45,235,45,97,10,10,10,10,10,10,FALSE,strict_14_with_grace_period,2,1,1,2.9,705,135,49350,9450,7.8687499999999995,2505,High,High
5643415,2013-03-26,within an hour,TRUE,1,6,River Valley,Central Region,239071,1.29349,103.83837,Apartment,Entire home/apt,2,1,1,1,Real Bed,48,146,1000,50,1,10,1,30,160,57,97,10,9,10,10,10,9,FALSE,strict_14_with_grace_period,1,1,0,2.16,160,57,23360,8322,7.78125,2436,High,High
5748910,2013-04-03,within a few hours,TRUE,1,5,Bukit Panjang,West Region,670001,1.38123,103.76874,Apartment,Private room,1,1,1,1,Real Bed,26,49,150,0,1,0,3,365,17,3,95,10,9,10,10,8,9,FALSE,strict_14_with_grace_period,1,0,1,0.22,51,9,2499,441,7.60625,2428,Low,Low
4602014,2013-01-06,within a day,FALSE,5,6,Hougang,North-East Region,538803,1.36764,103.90228,Condominium,Private room,1,1,1,1,Real Bed,19,30,0,7,1,0,30,1125,60,0,84,9,8,9,9,8,9,FALSE,flexible,4,0,3,0.75,1800,0,54000,0,6.95,2515,High,Low
2413412,2012-05-19,within an hour,FALSE,113,5,Kallang,Central Region,208085,1.31135,103.85946,Apartment,Private room,1,1,1,1,Real Bed,29,48,0,20,1,10,18,365,2,0,60,5,6,8,9,9,6,TRUE,strict_14_with_grace_period,120,0,120,0.04,36,0,1728,0,5.5062500000000005,2747,Low,Low
6448029,2013-05-18,N/A,FALSE,1,3,Kallang,Central Region,436922,1.29638,103.87282,Condominium,Private room,1,1,1,1,Real Bed,35,81,0,20,1,25,90,1125,14,0,98,10,10,10,10,9,10,FALSE,flexible,1,0,1,0.18,1260,0,102060,0,7.8687499999999995,2383,High,Low
6609641,2013-05-28,within an hour,TRUE,18,7,Tanglin,Central Region,257871,1.31693,103.82636,Serviced apartment,Entire home/apt,5,3,3,4,Real Bed,50,319,1000,120,1,0,7,999,43,5,89,9,9,10,10,9,9,TRUE,strict_14_with_grace_period,19,12,0,0.6,301,35,96019,11165,7.34375,2373,High,High
6609641,2013-05-28,within an hour,TRUE,18,7,Tanglin,Central Region,257871,1.31503,103.82614,Serviced apartment,Entire home/apt,2,1,1,1,Real Bed,54,149,500,100,1,0,7,999,30,6,95,10,9,10,10,10,9,TRUE,strict_14_with_grace_period,19,12,0,0.41,210,42,31290,6258,7.6937500000000005,2373,High,High
6609641,2013-05-28,within an hour,TRUE,18,7,Tanglin,Central Region,257854,1.31507,103.82704,Serviced apartment,Entire home/apt,3,2.5,2,2,Real Bed,51,240,500,100,1,0,7,999,31,5,91,9,9,9,10,9,9,TRUE,strict_14_with_grace_period,19,12,0,0.42,217,35,52080,8400,7.3875,2373,High,High
3589987,2012-09-17,N/A,FALSE,2,6,Marine Parade,Central Region,423653,1.31,103.90321,Townhouse,Private room,2,1,1,1,Real Bed,31,136,171,41,1,20,6,1125,10,2,95,10,9,9,10,9,9,TRUE,strict_14_with_grace_period,2,0,2,0.13,60,12,8160,1632,7.60625,2626,Medium,Medium
2413412,2012-05-19,within an hour,FALSE,113,5,Outram,Central Region,059108,1.28485,103.84347,Apartment,Private room,1,1,1,1,Real Bed,32,57,0,30,1,10,90,365,4,0,90,10,8,10,10,10,10,TRUE,strict_14_with_grace_period,120,0,120,0.1,360,0,20520,0,7.4750000000000005,2747,High,Low
2413412,2012-05-19,within an hour,FALSE,113,5,Kallang,Central Region,208085,1.31213,103.8561,Apartment,Private room,1,1,1,1,Real Bed,30,55,0,20,1,10,18,365,1,0,100,10,10,10,10,10,10,TRUE,strict_14_with_grace_period,120,0,120,0.03,18,0,990,0,8,2747,Low,Low
2413412,2012-05-19,within an hour,FALSE,113,5,Outram,Central Region,059108,1.28407,103.8436,Apartment,Private room,1,1,1,1,Real Bed,35,66,0,20,1,10,90,365,3,0,100,10,10,10,10,10,10,TRUE,strict_14_with_grace_period,120,0,120,0.09,270,0,17820,0,8,2747,High,Low
6954638,2013-06-17,within a day,FALSE,9,3,Queenstown,Central Region,129741,1.29201,103.76936,House,Private room,2,4,1,2,Real Bed,1,60,0,0,1,0,5,1125,9,2,66,7,8,9,8,10,7,FALSE,moderate,9,0,1,0.13,45,10,2700,600,6.03125,2353,Low,Low
3877464,2012-10-15,within a few hours,TRUE,1,8,Bedok,East Region,423822,1.31259,103.91067,Apartment,Private room,1,1,1,1,Real Bed,37,70,0,60,1,0,2,1000,76,8,96,10,10,10,10,9,9,FALSE,strict_14_with_grace_period,1,0,1,0.98,152,16,10640,1120,7.7375,2598,Medium,Low
2413412,2012-05-19,within an hour,FALSE,113,5,Outram,Central Region,059108,1.28432,103.84334,Apartment,Private room,1,1,1,1,Real Bed,34,60,0,30,1,10,90,365,3,0,80,9,6,9,9,10,9,TRUE,strict_14_with_grace_period,120,0,120,0.04,270,0,16200,0,6.7749999999999995,2747,High,Low
7707838,2013-07-24,N/A,FALSE,1,6,River Valley,Central Region,238257,1.29211,103.836,Apartment,Entire home/apt,6,2,3,5,Real Bed,21,400,1000,50,1,0,4,1125,6,0,95,10,10,10,10,10,10,FALSE,strict_14_with_grace_period,1,1,0,0.08,24,0,9600,0,7.78125,2316,Medium,Low
7945059,2013-08-05,within a few hours,TRUE,1,3,Tanglin,Central Region,257720,1.30768,103.82017,Condominium,Private room,3,1.5,1,1,Real Bed,30,102,6141,68,2,48,5,365,53,10,97,9,10,10,10,9,10,FALSE,moderate,1,0,1,0.78,265,50,27030,5100,7.78125,2304,High,Medium
2413412,2012-05-19,within an hour,FALSE,113,5,Kallang,Central Region,338721,1.30774,103.86332,Apartment,Private room,1,3,1,0,Real Bed,31,40,0,15,1,10,18,365,8,0,80,8,9,10,9,10,8,FALSE,strict_14_with_grace_period,120,0,120,0.12,144,0,5760,0,6.8625,2747,Medium,Low
8107070,2013-08-12,within a few hours,FALSE,1,7,Kallang,Central Region,208511,1.30844,103.85875,Apartment,Private room,2,1,1,1,Real Bed,18,75,0,0,1,0,5,30,26,8,93,9,9,10,10,9,9,FALSE,moderate,1,0,1,0.54,130,40,9750,3000,7.51875,2297,Medium,Medium
8527085,2013-08-30,within an hour,FALSE,39,5,Orchard,Central Region,238863,1.30341,103.83365,Apartment,Entire home/apt,7,1.5,2,4,Real Bed,18,300,200,50,5,30,2,1125,14,10,93,9,9,10,10,10,9,FALSE,strict_14_with_grace_period,36,36,0,0.28,28,20,8400,6000,7.5625,2279,Medium,Medium
2413412,2012-05-19,within an hour,FALSE,113,5,Outram,Central Region,059108,1.28328,103.84329,Apartment,Private room,1,1.5,1,1,Real Bed,34,67,0,20,1,10,90,365,3,1,87,9,8,10,10,9,8,TRUE,strict_14_with_grace_period,120,0,120,0.14,270,90,18090,6030,7.16875,2747,High,Medium
1584407,2012-01-09,within an hour,TRUE,5,9,Marine Parade,Central Region,428767,1.30415,103.90192,Guest suite,Private room,2,1,1,1,Real Bed,29,165,500,0,1,0,2,30,27,4,96,10,10,10,10,10,10,TRUE,moderate,5,2,3,0.37,54,8,8910,1320,7.825,2878,Medium,Medium
8773916,2013-09-11,N/A,FALSE,7,3,Rochor,Central Region,199150,1.30292,103.858,Bed and breakfast,Private room,3,8,1,3,Real Bed,2,90,0,0,3,30,1,1125,2,0,80,7,7,9,8,9,8,FALSE,strict_14_with_grace_period,7,0,7,0.07,2,0,180,0,6.6000000000000005,2267,Low,Low
8881470,2013-09-16,within an hour,FALSE,5,3,Outram,Central Region,059488,1.28425,103.8432,Bed and breakfast,Shared room,1,0,1,1,Real Bed,39,50,138,0,1,0,1,14,144,36,91,9,9,10,10,10,9,TRUE,strict_14_with_grace_period,5,0,0,1.97,144,36,7200,1800,7.4750000000000005,2262,Medium,Medium
8881470,2013-09-16,within an hour,FALSE,5,3,Outram,Central Region,059488,1.28446,103.8446,Bed and breakfast,Hotel room,6,0,1,6,Real Bed,41,300,200,0,6,25,1,14,2,0,90,10,9,10,10,10,10,TRUE,strict_14_with_grace_period,5,0,0,0.04,2,0,600,0,7.51875,2262,Low,Low
8881470,2013-09-16,within an hour,FALSE,5,3,Outram,Central Region,059488,1.28467,103.84327,Bed and breakfast,Hotel room,1,0,1,1,Real Bed,40,50,137,0,1,0,1,14,89,21,93,10,9,10,10,10,9,TRUE,strict_14_with_grace_period,5,0,0,1.25,89,21,4450,1050,7.60625,2262,Medium,Low
2413412,2012-05-19,within an hour,FALSE,113,5,Outram,Central Region,059108,1.28459,103.84217,Apartment,Private room,1,1,1,0,Real Bed,31,55,0,20,1,10,18,365,3,2,80,7,6,9,9,9,8,TRUE,strict_14_with_grace_period,120,0,120,0.08,54,36,2970,1980,6.6000000000000005,2747,Low,Medium
9164793,2013-10-01,N/A,FALSE,5,6,Outram,Central Region,069415,1.28328,103.84532,House,Private room,2,1,1,1,Real Bed,39,800,140,40,1,10,1,40,3,0,100,9,8,10,10,10,9,TRUE,strict_14_with_grace_period,5,2,3,0.13,3,0,2400,0,7.825,2247,Low,Low
11390076,2014-01-17,within an hour,FALSE,22,5,Newton,Central Region,579725,1.30626,103.83994,Apartment,Private room,2,1,1,1,Real Bed,32,81,0,75,1,8,3,1125,11,2,87,8,7,9,9,10,8,FALSE,strict_14_with_grace_period,22,1,21,0.35,33,6,2673,486,7.0375000000000005,2139,Low,Low
9461671,2013-10-16,within a few hours,FALSE,1,3,Geylang,Central Region,398484,1.31435,103.88617,Apartment,Entire home/apt,5,1,2,3,Real Bed,47,171,200,150,2,18,3,1125,20,2,90,10,9,10,10,9,9,FALSE,strict_14_with_grace_period,1,1,0,0.28,60,6,10260,1026,7.4312499999999995,2232,Medium,Low
367042,2011-01-29,within an hour,FALSE,8,5,Tampines,East Region,488405,1.34566,103.95994,House,Private room,3,1,1,1,Real Bed,27,89,273,27,1,27,1,1125,9,5,89,9,8,9,9,9,9,TRUE,strict_14_with_grace_period,8,0,8,0.14,9,5,801,445,7.2124999999999995,3223,Low,Low
6609641,2013-05-28,within an hour,TRUE,18,7,Tanglin,Central Region,257871,1.31742,103.82572,Serviced apartment,Hotel room,2,1,1,1,Real Bed,52,160,500,60,1,0,7,365,25,8,95,10,9,10,10,9,9,TRUE,strict_14_with_grace_period,19,12,0,0.35,175,56,28000,8960,7.6499999999999995,2373,High,High
367042,2011-01-29,within an hour,FALSE,8,5,Tampines,East Region,488405,1.34574,103.95945,House,Private room,8,1,2,8,Real Bed,34,255,273,82,6,27,1,1125,4,3,90,9,8,10,10,10,10,FALSE,moderate,8,0,8,0.13,4,3,1020,765,7.4312499999999995,3223,Low,Low
2413412,2012-05-19,within an hour,FALSE,113,5,Geylang,Central Region,387511,1.31539,103.88257,Apartment,Private room,1,3,1,1,Real Bed,33,40,0,15,1,10,18,365,1,0,100,10,10,10,10,10,10,TRUE,strict_14_with_grace_period,120,0,120,0.03,18,0,720,0,8,2747,Low,Low
3926646,2012-10-20,within an hour,FALSE,6,7,Downtown Core,Central Region,079903,1.27539,103.84491,Condominium,Private room,2,1.5,1,1,Real Bed,51,130,0,0,1,99,4,1123,77,2,90,9,9,10,9,10,9,TRUE,strict_14_with_grace_period,6,2,4,1.1,308,8,40040,1040,7.3875,2593,High,Low
10307677,2013-11-28,N/A,FALSE,2,3,Toa Payoh,Central Region,538422,1.3377,103.88248,Apartment,Entire home/apt,5,2.5,3,3,Real Bed,21,141,500,0,1,0,5,1125,2,0,100,10,10,10,10,9,10,FALSE,flexible,2,1,1,0.05,10,0,1410,0,7.95625,2189,Low,Low
7644641,2013-07-22,within a day,FALSE,3,5,Bedok,East Region,455500,1.32111,103.92206,House,Private room,1,1,1,1,Real Bed,5,68,0,15,1,0,90,1125,5,0,96,10,10,10,10,9,9,FALSE,flexible,3,0,3,0.07,450,0,30600,0,7.7375,2318,High,Low
10422417,2013-12-04,within an hour,FALSE,3,5,Clementi,West Region,127160,1.31005,103.76144,Condominium,Private room,2,1.5,1,1,Real Bed,30,100,1000,250,1,25,89,1125,3,0,100,10,10,10,10,9,9,FALSE,moderate,3,0,3,0.05,267,0,26700,0,7.9125000000000005,2183,High,Low
6099546,2013-04-26,N/A,FALSE,1,6,Downtown Core,Central Region,079717,1.27365,103.84354,Apartment,Entire home/apt,2,2,1,1,Real Bed,14,240,0,0,1,20,5,1125,8,0,97,10,10,10,10,10,10,FALSE,moderate,1,1,0,0.11,40,0,9600,0,7.8687499999999995,2405,Medium,Low
9900768,2013-11-09,N/A,FALSE,3,6,Novena,Central Region,329762,1.32359,103.85063,Apartment,Private room,1,2,1,2,Real Bed,7,360,200,60,1,30,30,160,2,0,70,4,6,8,10,6,5,TRUE,strict_14_with_grace_period,3,0,3,0.03,60,0,21600,0,5.76875,2208,High,Low
10426671,2013-12-04,within a day,FALSE,2,8,Toa Payoh,Central Region,536314,1.33903,103.88474,House,Private room,2,1,1,2,Real Bed,13,50,600,50,1,20,3,1125,53,8,85,9,8,9,9,9,9,TRUE,strict_14_with_grace_period,2,0,2,0.79,159,24,7950,1200,7.0375000000000005,2183,Medium,Medium
9900768,2013-11-09,N/A,FALSE,3,6,Novena,Central Region,329762,1.32347,103.85213,Apartment,Private room,1,2,1,1,Real Bed,8,379,130,60,1,20,5,160,11,0,84,9,8,9,10,9,9,FALSE,strict_14_with_grace_period,3,0,3,0.17,55,0,20845,0,7.0375000000000005,2208,High,Low
10248444,2013-11-25,within an hour,FALSE,49,4,River Valley,Central Region,238344,1.29815,103.83895,Serviced apartment,Entire home/apt,5,1,1,3,Real Bed,36,141,150,0,2,18,1,1125,103,11,89,9,9,10,9,9,9,FALSE,strict_14_with_grace_period,47,26,16,1.44,103,11,14523,1551,7.3,2192,Medium,Medium
10248444,2013-11-25,within an hour,FALSE,49,4,River Valley,Central Region,238344,1.29549,103.83931,Apartment,Entire home/apt,5,1,1,3,Real Bed,28,141,150,0,2,18,2,1125,110,15,87,9,9,9,10,9,9,TRUE,strict_14_with_grace_period,47,26,16,1.53,220,30,31020,4230,7.2124999999999995,2192,High,Medium
10691920,2013-12-18,a few days or more,TRUE,2,6,Choa Chu Kang,West Region,689673,1.38686,103.74468,Condominium,Private room,1,1,1,1,Real Bed,26,63,164,27,1,14,4,10000,29,0,99,10,10,10,10,9,9,FALSE,strict_14_with_grace_period,2,0,2,0.4,116,0,7308,0,7.8687499999999995,2169,Medium,Low
10776798,2013-12-23,within a day,FALSE,3,5,Bukit Panjang,West Region,587977,1.34891,103.77137,Condominium,Private room,2,1,1,1,Real Bed,21,70,1600,150,1,20,90,365,7,0,90,9,10,9,10,9,8,FALSE,strict_14_with_grace_period,3,1,2,0.13,630,0,44100,0,7.34375,2164,High,Low
1436112,2011-11-23,within an hour,TRUE,1,7,Outram,Central Region,069047,1.28153,103.84808,Condominium,Entire home/apt,5,2,2,2,Real Bed,31,250,300,90,4,40,3,1124,168,18,96,10,9,10,10,10,9,TRUE,strict_14_with_grace_period,1,1,0,2.36,504,54,126000,13500,7.7375,2925,High,High
10861133,2013-12-28,within an hour,FALSE,6,5,Kallang,Central Region,338787,1.31609,103.85813,Hostel,Hotel room,4,4,1,4,Real Bed,16,98,0,8,1,0,1,1125,10,2,78,7,8,9,9,9,8,TRUE,strict_14_with_grace_period,10,1,0,0.21,10,2,980,196,6.6000000000000005,2159,Low,Low
1469421,2011-12-04,N/A,FALSE,1,7,Novena,Central Region,309076,1.31642,103.8398,Apartment,Entire home/apt,2,2,1,1,Real Bed,22,89,0,50,1,0,2,1125,7,0,100,10,10,10,10,10,10,FALSE,moderate,1,1,0,0.17,14,0,1246,0,8,2914,Low,Low
7642747,2013-07-22,within an hour,TRUE,1,5,Bedok,East Region,418624,1.32122,103.91492,Townhouse,Entire home/apt,5,1,1,0,Real Bed,35,139,150,42,3,12,2,1124,345,77,99,10,10,10,10,10,10,FALSE,strict_14_with_grace_period,1,1,0,4.83,690,154,95910,21406,7.95625,2318,High,High
